prod-1,Wireless Headphones,129.99,High-quality wireless headphones with noise cancellation
prod-2,Smartphone Case,24.99,Durable protective case for smartphones
prod-3,Laptop Stand,89.50,Adjustable aluminum laptop stand for ergonomic workspace
prod-4,USB-C Cable,15.99,Fast charging USB-C cable 6ft length
prod-5,Bluetooth Speaker,79.99,Portable waterproof Bluetooth speaker with bass boost
prod-6,Gaming Mouse,45.99,RGB gaming mouse with programmable buttons
prod-7,Mechanical Keyboard,149.99,Cherry MX mechanical keyboard with RGB backlighting
prod-8,Monitor Stand,34.99,Wooden monitor stand with storage compartment
prod-9,Webcam HD,69.99,1080p HD webcam with auto-focus and noise reduction
prod-10,Power Bank,39.99,20000mAh portable power bank with fast charging
prod-11,Desk Lamp,55.99,LED desk lamp with adjustable brightness and color temperature
prod-12,Ergonomic Chair,299.99,Ergonomic office chair with lumbar support
prod-13,Coffee Mug,12.99,Insulated stainless steel coffee mug 16oz
prod-14,Notebook Set,19.99,Set of 3 lined notebooks with hardcover
prod-15,Pen Set,29.99,Premium ballpoint pen set with gift box
prod-16,Water Bottle,22.99,Insulated water bottle 32oz with straw lid
prod-17,Backpack,89.99,Laptop backpack with multiple compartments
prod-18,Phone Charger,18.99,Wireless charging pad with LED indicator
prod-19,Screen Cleaner,9.99,Microfiber screen cleaning kit for electronics
prod-20,Cable Organizer,14.99,Desk cable management organizer with clips
prod-21,Tablet Stand,25.99,Adjustable tablet stand for desk or bedside
prod-22,Earbuds,59.99,True wireless earbuds with charging case
prod-23,Mouse Pad,16.99,Large gaming mouse pad with stitched edges
prod-24,Phone Grip,8.99,Collapsible phone grip and stand
prod-25,Desk Organizer,32.99,Bamboo desk organizer with multiple compartments
prod-26,Portable SSD,199.99,1TB portable SSD with USB 3.2 interface
prod-27,Webcam Cover,4.99,Sliding webcam privacy cover for laptops
prod-28,Bluetooth Adapter,19.99,USB Bluetooth 5.0 adapter for PC
prod-29,HDMI Cable,12.99,4K HDMI cable 10ft length
prod-30,Surge Protector,49.99,12-outlet surge protector with USB ports
prod-31,Desk Fan,35.99,USB desk fan with adjustable speed settings
prod-32,Phone Mount,21.99,Car phone mount with magnetic attachment
prod-33,Laptop Sleeve,28.99,Waterproof laptop sleeve 15.6 inch
prod-34,Wireless Charger,42.99,Fast wireless charging stand with cooling fan
prod-35,Keyboard Wrist Rest,18.99,Memory foam keyboard wrist rest
prod-36,Monitor Light,65.99,Monitor light bar with auto-dimming feature
prod-37,Cable Tester,24.99,Network cable tester for ethernet cables
prod-38,USB Hub,33.99,7-port USB 3.0 hub with individual switches
prod-39,Laptop Cooler,45.99,Laptop cooling pad with 6 fans
prod-40,Desk Shelf,52.99,Floating desk shelf for monitor and storage
prod-41,Wireless Mouse,29.99,Ergonomic wireless mouse with silent clicks
prod-42,Keyboard Cover,11.99,Silicone keyboard cover for MacBook
prod-43,Phone Case,19.99,Clear protective phone case with reinforced corners
prod-44,Tablet Case,39.99,Folio tablet case with keyboard attachment
prod-45,Screen Protector,13.99,Tempered glass screen protector for smartphones
prod-46,Car Charger,16.99,Dual USB car charger with fast charging
prod-47,Desk Clock,27.99,Digital desk clock with temperature display
prod-48,Cable Clips,7.99,Adhesive cable clips for desk organization
prod-49,Laptop Lock,23.99,Security cable lock for laptops
prod-50,Portable Monitor,249.99,15.6 inch portable USB-C monitor

